freq,SMA_S,SMA_L,Signal_Mw,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
15.0,15.0,30.0,35.0,8190.0,0.171,4.686,-4.686,-4.515,182273.0
15.0,15.0,40.0,5.0,16380.0,0.102,4.686,-4.686,-4.584,182273.0
15.0,15.0,40.0,10.0,12000.0,0.13,4.686,-4.686,-4.556,182273.0
15.0,15.0,40.0,15.0,10048.0,0.16,4.686,-4.686,-4.526,182273.0
15.0,15.0,40.0,20.0,9012.0,0.183,4.686,-4.686,-4.503,182273.0
15.0,15.0,40.0,25.0,8380.0,0.139,4.686,-4.686,-4.547,182273.0
15.0,15.0,40.0,30.0,7885.0,0.136,4.686,-4.686,-4.55,182273.0
15.0,15.0,40.0,35.0,7527.0,0.166,4.686,-4.686,-4.52,182273.0
15.0,15.0,50.0,5.0,15888.0,0.09,4.686,-4.686,-4.596,182273.0
15.0,15.0,50.0,10.0,11464.0,0.138,4.686,-4.686,-4.548,182273.0
15.0,15.0,50.0,15.0,9638.0,0.193,4.686,-4.686,-4.493,182273.0
15.0,15.0,50.0,20.0,8546.0,0.16,4.686,-4.686,-4.526,182273.0
15.0,15.0,50.0,25.0,7917.0,0.15,4.686,-4.686,-4.536,182273.0
15.0,15.0,50.0,30.0,7475.0,0.138,4.686,-4.686,-4.548,182273.0
15.0,15.0,50.0,35.0,7079.0,0.185,4.686,-4.686,-4.501,182273.0
15.0,20.0,30.0,5.0,15530.0,0.202,4.686,-4.686,-4.484,182273.0
15.0,20.0,30.0,10.0,11440.0,0.156,4.686,-4.686,-4.53,182273.0
15.0,20.0,30.0,15.0,9638.0,0.163,4.686,-4.686,-4.523,182273.0
15.0,20.0,30.0,20.0,8706.0,0.197,4.686,-4.686,-4.489,182273.0
15.0,20.0,30.0,25.0,8100.0,0.134,4.686,-4.686,-4.552,182273.0
15.0,20.0,30.0,30.0,7643.0,0.172,4.686,-4.686,-4.514,182273.0
15.0,20.0,30.0,35.0,7251.0,0.215,4.686,-4.686,-4.471,182273.0
15.0,20.0,40.0,5.0,14566.0,0.082,4.686,-4.686,-4.604,182273.0
15.0,20.0,40.0,10.0,10668.0,0.108,4.686,-4.686,-4.578,182273.0
15.0,20.0,40.0,15.0,8920.0,0.169,4.686,-4.686,-4.517,182273.0
15.0,20.0,40.0,20.0,8036.0,0.146,4.686,-4.686,-4.54,182273.0
15.0,20.0,40.0,25.0,7377.0,0.24,4.686,-4.686,-4.446,182273.0
15.0,20.0,40.0,30.0,7011.0,0.189,4.686,-4.686,-4.497,182273.0
15.0,20.0,40.0,35.0,6629.0,0.259,4.686,-4.686,-4.427,182273.0
15.0,20.0,50.0,5.0,14034.0,0.093,4.686,-4.686,-4.593,182273.0
15.0,20.0,50.0,10.0,10164.0,0.131,4.686,-4.686,-4.555,182273.0
15.0,20.0,50.0,15.0,8498.0,0.166,4.686,-4.686,-4.52,182273.0
15.0,20.0,50.0,20.0,7607.0,0.185,4.686,-4.686,-4.501,182273.0
15.0,20.0,50.0,25.0,7065.0,0.149,4.686,-4.686,-4.537,182273.0
15.0,20.0,50.0,30.0,6535.0,0.306,4.686,-4.686,-4.38,182273.0
15.0,20.0,50.0,35.0,6251.0,0.416,4.686,-4.685,-4.27,182273.0
15.0,25.0,40.0,5.0,13488.0,0.07,4.686,-4.686,-4.616,182273.0
15.0,25.0,40.0,10.0,9712.0,0.19,4.686,-4.686,-4.496,182273.0
15.0,25.0,40.0,15.0,8254.0,0.164,4.686,-4.686,-4.522,182273.0
15.0,25.0,40.0,20.0,7329.0,0.264,4.686,-4.686,-4.422,182273.0
15.0,25.0,40.0,25.0,6823.0,0.252,4.686,-4.686,-4.434,182273.0
15.0,25.0,40.0,30.0,6401.0,0.321,4.686,-4.685,-4.365,182273.0
15.0,25.0,40.0,35.0,6053.0,0.494,4.686,-4.685,-4.192,182273.0
15.0,25.0,50.0,5.0,12956.0,0.044,4.686,-4.686,-4.642,182273.0
15.0,25.0,50.0,10.0,9270.0,0.11,4.686,-4.686,-4.576,182273.0
15.0,25.0,50.0,15.0,7815.0,0.16,4.686,-4.686,-4.526,182273.0
15.0,25.0,50.0,20.0,7035.0,0.149,4.686,-4.686,-4.537,182273.0
15.0,25.0,50.0,25.0,6407.0,0.286,4.686,-4.686,-4.4,182273.0
15.0,25.0,50.0,30.0,5975.0,0.527,4.686,-4.685,-4.159,182273.0
15.0,25.0,50.0,35.0,5605.0,0.562,4.686,-4.684,-4.124,182273.0
25.0,5.0,20.0,5.0,18044.0,0.196,4.692,-4.692,-4.496,109389.0
25.0,5.0,20.0,10.0,13834.0,0.172,4.692,-4.692,-4.52,109389.0
25.0,5.0,20.0,15.0,12042.0,0.173,4.692,-4.692,-4.519,109389.0
25.0,5.0,20.0,20.0,11144.0,0.115,4.692,-4.692,-4.577,109389.0
25.0,5.0,20.0,25.0,10584.0,0.083,4.692,-4.692,-4.609,109389.0
25.0,5.0,20.0,30.0,10112.0,0.087,4.692,-4.692,-4.605,109389.0
25.0,5.0,20.0,35.0,9848.0,0.069,4.692,-4.692,-4.623,109389.0
25.0,5.0,30.0,5.0,17154.0,0.095,4.692,-4.692,-4.597,109389.0
25.0,5.0,30.0,10.0,12814.0,0.174,4.692,-4.692,-4.518,109389.0
25.0,5.0,30.0,15.0,11050.0,0.093,4.692,-4.692,-4.599,109389.0
25.0,5.0,30.0,20.0,10036.0,0.088,4.692,-4.692,-4.604,109389.0
25.0,5.0,30.0,25.0,9390.0,0.122,4.692,-4.692,-4.57,109389.0
25.0,5.0,30.0,30.0,8917.0,0.172,4.692,-4.692,-4.52,109389.0
25.0,5.0,30.0,35.0,8609.0,0.273,4.692,-4.692,-4.419,109389.0
25.0,5.0,40.0,5.0,16740.0,0.124,4.692,-4.692,-4.568,109389.0
25.0,5.0,40.0,10.0,12356.0,0.103,4.692,-4.692,-4.589,109389.0
25.0,5.0,40.0,15.0,10560.0,0.081,4.692,-4.692,-4.611,109389.0
25.0,5.0,40.0,20.0,9494.0,0.126,4.692,-4.692,-4.566,109389.0
25.0,5.0,40.0,25.0,8735.0,0.255,4.692,-4.692,-4.437,109389.0
25.0,5.0,40.0,30.0,8223.0,0.387,4.692,-4.692,-4.305,109389.0
25.0,5.0,40.0,35.0,7905.0,0.511,4.692,-4.692,-4.181,109389.0
25.0,5.0,50.0,5.0,16526.0,0.112,4.692,-4.692,-4.58,109389.0
25.0,5.0,50.0,10.0,12080.0,0.093,4.692,-4.692,-4.599,109389.0
25.0,5.0,50.0,15.0,10290.0,0.098,4.692,-4.692,-4.594,109389.0
25.0,5.0,50.0,20.0,9105.0,0.241,4.692,-4.692,-4.451,109389.0
25.0,5.0,50.0,25.0,8331.0,0.411,4.692,-4.692,-4.281,109389.0
25.0,5.0,50.0,30.0,7933.0,0.476,4.692,-4.692,-4.216,109389.0
25.0,5.0,50.0,35.0,7529.0,0.451,4.692,-4.692,-4.241,109389.0
25.0,10.0,20.0,5.0,13076.0,0.185,4.692,-4.692,-4.507,109389.0
25.0,10.0,20.0,10.0,9794.0,0.17,4.692,-4.692,-4.522,109389.0
25.0,10.0,20.0,15.0,8604.0,0.236,4.692,-4.692,-4.456,109389.0
25.0,10.0,20.0,20.0,7734.0,0.316,4.692,-4.692,-4.376,109389.0
25.0,10.0,20.0,25.0,7345.0,0.347,4.692,-4.692,-4.345,109389.0
25.0,10.0,20.0,30.0,7041.0,0.229,4.692,-4.692,-4.463,109389.0
25.0,10.0,20.0,35.0,6803.0,0.277,4.692,-4.692,-4.415,109389.0
25.0,10.0,30.0,5.0,12074.0,0.204,4.692,-4.692,-4.488,109389.0
25.0,10.0,30.0,10.0,8954.0,0.187,4.692,-4.692,-4.505,109389.0
25.0,10.0,30.0,15.0,7641.0,0.397,4.692,-4.692,-4.295,109389.0
25.0,10.0,30.0,20.0,6967.0,0.26,4.692,-4.692,-4.432,109389.0
25.0,10.0,30.0,25.0,6523.0,0.285,4.692,-4.692,-4.407,109389.0
25.0,10.0,30.0,30.0,6105.0,0.518,4.692,-4.691,-4.174,109389.0
25.0,10.0,30.0,35.0,5861.0,0.484,4.692,-4.691,-4.208,109389.0
25.0,10.0,40.0,5.0,11624.0,0.109,4.692,-4.692,-4.583,109389.0
25.0,10.0,40.0,10.0,8492.0,0.213,4.692,-4.692,-4.479,109389.0
25.0,10.0,40.0,15.0,7293.0,0.19,4.692,-4.692,-4.502,109389.0
25.0,10.0,40.0,20.0,6529.0,0.304,4.692,-4.692,-4.388,109389.0
25.0,10.0,40.0,25.0,6003.0,0.447,4.692,-4.691,-4.245,109389.0
25.0,10.0,40.0,30.0,5705.0,0.382,4.692,-4.691,-4.31,109389.0
25.0,10.0,40.0,35.0,5431.0,0.699,4.692,-4.689,-3.993,109389.0
25.0,10.0,50.0,5.0,11374.0,0.14,4.692,-4.692,-4.552,109389.0
25.0,10.0,50.0,10.0,8333.0,0.204,4.692,-4.692,-4.488,109389.0
25.0,10.0,50.0,15.0,7063.0,0.235,4.692,-4.692,-4.457,109389.0
25.0,10.0,50.0,20.0,6225.0,0.346,4.692,-4.691,-4.346,109389.0
25.0,10.0,50.0,25.0,5769.0,0.355,4.692,-4.691,-4.337,109389.0
25.0,10.0,50.0,30.0,5361.0,0.623,4.692,-4.689,-4.069,109389.0
25.0,10.0,50.0,35.0,5145.0,1.233,4.692,-4.685,-3.459,109389.0
25.0,15.0,30.0,5.0,10248.0,0.104,4.692,-4.692,-4.588,109389.0
25.0,15.0,30.0,10.0,7497.0,0.31,4.692,-4.692,-4.382,109389.0
25.0,15.0,30.0,15.0,6501.0,0.212,4.692,-4.692,-4.48,109389.0
25.0,15.0,30.0,20.0,5797.0,0.618,4.692,-4.69,-4.074,109389.0
25.0,15.0,30.0,25.0,5409.0,0.508,4.692,-4.69,-4.184,109389.0
25.0,15.0,30.0,30.0,5065.0,0.707,4.692,-4.688,-3.985,109389.0
25.0,15.0,30.0,35.0,4841.0,1.456,4.692,-4.681,-3.236,109389.0
25.0,15.0,40.0,5.0,9768.0,0.094,4.692,-4.692,-4.598,109389.0
25.0,15.0,40.0,10.0,7157.0,0.179,4.692,-4.692,-4.513,109389.0
25.0,15.0,40.0,15.0,6033.0,0.326,4.692,-4.691,-4.366,109389.0
25.0,15.0,40.0,20.0,5395.0,0.537,4.692,-4.69,-4.155,109389.0
25.0,15.0,40.0,25.0,4973.0,0.936,4.692,-4.686,-3.756,109389.0
25.0,15.0,40.0,30.0,4599.0,4.172,4.692,-4.65,-0.52,109389.0
25.0,15.0,40.0,35.0,4355.0,5.835,4.692,-4.617,1.143,109389.0
25.0,15.0,50.0,5.0,9446.0,0.119,4.692,-4.692,-4.573,109389.0
