freq,SMA_S,SMA_L,Signal_Mw,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
15.0,15.0,50.0,25.0,7066.0,0.074,0.354,-0.354,-0.28,158053.0
15.0,15.0,50.0,30.0,6688.0,0.064,0.354,-0.354,-0.29,158053.0
15.0,15.0,50.0,35.0,6334.0,0.078,0.354,-0.354,-0.276,158053.0
15.0,20.0,30.0,5.0,13758.0,0.047,0.354,-0.354,-0.307,158053.0
15.0,20.0,30.0,10.0,9976.0,0.372,0.354,-0.354,0.018,158053.0
15.0,20.0,30.0,15.0,8524.0,0.211,0.354,-0.354,-0.143,158053.0
15.0,20.0,30.0,20.0,7722.0,0.079,0.354,-0.354,-0.275,158053.0
15.0,20.0,30.0,25.0,7212.0,0.071,0.354,-0.354,-0.283,158053.0
15.0,20.0,30.0,30.0,6762.0,0.086,0.354,-0.354,-0.268,158053.0
15.0,20.0,30.0,35.0,6422.0,0.112,0.354,-0.354,-0.242,158053.0
15.0,20.0,40.0,5.0,12906.0,0.08,0.354,-0.354,-0.274,158053.0
15.0,20.0,40.0,10.0,9398.0,0.235,0.354,-0.354,-0.119,158053.0
15.0,20.0,40.0,15.0,7942.0,0.079,0.354,-0.354,-0.275,158053.0
15.0,20.0,40.0,20.0,7136.0,0.092,0.354,-0.354,-0.262,158053.0
15.0,20.0,40.0,25.0,6560.0,0.087,0.354,-0.354,-0.267,158053.0
15.0,20.0,40.0,30.0,6168.0,0.109,0.354,-0.354,-0.245,158053.0
15.0,20.0,40.0,35.0,5876.0,0.142,0.354,-0.354,-0.212,158053.0
15.0,20.0,50.0,5.0,12416.0,0.126,0.354,-0.354,-0.228,158053.0
15.0,20.0,50.0,10.0,9048.0,0.173,0.354,-0.354,-0.181,158053.0
15.0,20.0,50.0,15.0,7570.0,0.093,0.354,-0.354,-0.261,158053.0
15.0,20.0,50.0,20.0,6778.0,0.079,0.354,-0.354,-0.275,158053.0
15.0,20.0,50.0,25.0,6156.0,0.164,0.354,-0.354,-0.19,158053.0
15.0,20.0,50.0,30.0,5830.0,0.196,0.354,-0.353,-0.158,158053.0
15.0,20.0,50.0,35.0,5482.0,0.283,0.354,-0.353,-0.071,158053.0
15.0,25.0,40.0,5.0,11872.0,0.195,0.354,-0.354,-0.159,158053.0
15.0,25.0,40.0,10.0,8698.0,0.121,0.354,-0.354,-0.233,158053.0
15.0,25.0,40.0,15.0,7310.0,0.094,0.354,-0.354,-0.26,158053.0
15.0,25.0,40.0,20.0,6522.0,0.096,0.354,-0.354,-0.258,158053.0
15.0,25.0,40.0,25.0,6010.0,0.17,0.354,-0.354,-0.184,158053.0
15.0,25.0,40.0,30.0,5618.0,0.202,0.354,-0.353,-0.152,158053.0
15.0,25.0,40.0,35.0,5344.0,0.272,0.354,-0.353,-0.082,158053.0
15.0,25.0,50.0,5.0,11398.0,0.115,0.354,-0.354,-0.239,158053.0
15.0,25.0,50.0,10.0,8268.0,0.078,0.354,-0.354,-0.276,158053.0
15.0,25.0,50.0,15.0,6974.0,0.074,0.354,-0.354,-0.28,158053.0
15.0,25.0,50.0,20.0,6142.0,0.155,0.354,-0.354,-0.199,158053.0
15.0,25.0,50.0,25.0,5644.0,0.251,0.354,-0.353,-0.103,158053.0
15.0,25.0,50.0,30.0,5254.0,0.279,0.354,-0.353,-0.075,158053.0
15.0,25.0,50.0,35.0,4960.0,0.318,0.354,-0.352,-0.036,158053.0
25.0,5.0,20.0,5.0,15938.0,0.031,0.36,-0.36,-0.329,94853.0
25.0,5.0,20.0,10.0,12258.0,0.049,0.36,-0.36,-0.311,94853.0
25.0,5.0,20.0,15.0,10664.0,0.185,0.36,-0.36,-0.175,94853.0
25.0,5.0,20.0,20.0,9886.0,0.184,0.36,-0.36,-0.176,94853.0
25.0,5.0,20.0,25.0,9324.0,0.175,0.36,-0.36,-0.185,94853.0
25.0,5.0,20.0,30.0,8974.0,0.131,0.36,-0.36,-0.229,94853.0
25.0,5.0,20.0,35.0,8728.0,0.17,0.36,-0.36,-0.19,94853.0
25.0,5.0,30.0,5.0,15260.0,0.02,0.36,-0.36,-0.34,94853.0
25.0,5.0,30.0,10.0,11342.0,0.147,0.36,-0.36,-0.213,94853.0
25.0,5.0,30.0,15.0,9788.0,0.189,0.36,-0.36,-0.171,94853.0
25.0,5.0,30.0,20.0,8896.0,0.152,0.36,-0.36,-0.208,94853.0
25.0,5.0,30.0,25.0,8420.0,0.126,0.36,-0.36,-0.234,94853.0
25.0,5.0,30.0,30.0,7974.0,0.104,0.36,-0.36,-0.256,94853.0
25.0,5.0,30.0,35.0,7582.0,0.156,0.36,-0.36,-0.204,94853.0
25.0,5.0,40.0,5.0,14814.0,0.066,0.36,-0.36,-0.294,94853.0
25.0,5.0,40.0,10.0,10952.0,0.203,0.36,-0.36,-0.157,94853.0
25.0,5.0,40.0,15.0,9324.0,0.184,0.36,-0.36,-0.176,94853.0
25.0,5.0,40.0,20.0,8506.0,0.094,0.36,-0.36,-0.266,94853.0
25.0,5.0,40.0,25.0,7820.0,0.106,0.36,-0.36,-0.254,94853.0
25.0,5.0,40.0,30.0,7322.0,0.179,0.36,-0.36,-0.181,94853.0
25.0,5.0,40.0,35.0,6948.0,0.351,0.36,-0.36,-0.009,94853.0
25.0,5.0,50.0,5.0,14586.0,0.066,0.36,-0.36,-0.294,94853.0
25.0,5.0,50.0,10.0,10660.0,0.26,0.36,-0.36,-0.1,94853.0
25.0,5.0,50.0,15.0,9052.0,0.164,0.36,-0.36,-0.196,94853.0
25.0,5.0,50.0,20.0,8082.0,0.086,0.36,-0.36,-0.274,94853.0
25.0,5.0,50.0,25.0,7396.0,0.265,0.36,-0.36,-0.095,94853.0
